feature	mean	sd
CN_annot	0.071378	0.257242400778462
del	0.680604	0.466561419521383
dup	0.083568	0.276522256674793
exon_annot	0.138014	0.344928233162382
hom_gc	0.30339542611908	0.308022209066368
insertion_gc	0.0954378468562434	0.218249682540224
inter	0.086792	0.282229104347627
inv	0.149036	0.356596247157527
log_gnomad_d_bkpt1	2.3791392843552	2.76423088727811
log_gnomad_d_bkpt2	2.38445774677875	2.74912727891517
log_homlen	0.55559478550223	0.523584168031074
log_insertion_len	0.221355276413375	0.519106775927354
log_line_dist	2.58775004341143	1.15206853449321
log_num_sv_sample	2.98879002713426	0.290926066859563
log_sine_dist	2.70493500912247	1.20734717184914
log_SPAN	4.13874293278202	1.57950319543657
log_sv_count_5Mbp	1.00329401314008	0.465043131255626
log_sv_dist	4.39364982757848	2.38574224266665
prop	0.37658353798768	0.34515313410312
purity	0.6239633162	0.349335904069737
sv_reptime_left	-0.063518899968711	0.970930230661619
sv_reptime_right	-0.0850604986299522	0.960778695272556
tp53_status	-0.112382	0.888966386654802
