Ref.Sig.R2	Ref.Sig.R4	Ref.Sig.R6a	Ref.Sig.R1	Ref.Sig.R7	Ref.Sig.R5	Ref.Sig.R6b	Ref.Sig.R8	Ref.Sig.R3	Ref.Sig.R9	Ref.Sig.R10	Ref.Sig.R11	Ref.Sig.R12	Ref.Sig.R13	Ref.Sig.R14	Ref.Sig.R15	Ref.Sig.R16	Ref.Sig.R17	Ref.Sig.R18	Ref.Sig.R19	Ref.Sig.R20	unassigned
0124_fuzzy_called_somatic	18.7012461689902	0	0	0	0	0	0	0	14.1305440302726	94.3684202535858	0	0	0	0	0	0	0	0	0	0	0	8.79978954715129
0125_fuzzy_called_somatic	59.8110993042144	0	0	0	0	0	0	0	37.7321767271102	136.473497418091	0	0	0	0	0	0	0	0	0	0	55.359014697004	16.6242118535808
0128_fuzzy_called_somatic	26.7409850800067	0	0	0	0	0	0	0	21.5410715951639	107.798202737085	0	0	0	0	0	0	0	0	0	0	0	3.91974058774395
0145_fuzzy_called_somatic	73.736924157884	0	0	18.7823108276635	0	0	0	0	0	119.269185586689	0	0	0	0	0	0	0	0	0	0	0	10.2115794277641
0152_fuzzy_called_somatic	23.4930301228385	0	10.9188263338242	0	0	0	35.830202724834	0	12.8145740216689	103.320365921681	0	0	0	0	0	0	0	0	0	0	0	10.6230008751539
0155_fuzzy_called_somatic	52.4415447242615	0	0	0	0	0	0	0	28.9772494218666	140.877822100263	0	0	0	0	0	0	0	0	0	0	0	11.7033837536092
0171_fuzzy_called_somatic	83.8690088340121	0	0	0	0	0	21.8850362898017	0	30.1742907024624	164.813425994025	0	0	0	0	0	0	0	0	31.9362447303938	0	0	32.3219934493051
0185_fuzzy_called_somatic	26.2438118317066	0	0	0	0	0	0	0	13.0705852581041	93.0208404640837	0	0	0	0	0	0	0	0	0	0	12.3242721290411	3.34049031706462
0190_fuzzy_called_somatic	87.7576638106604	77.1834171740493	40.1497083312972	0	0	0	0	0	22.4228013565112	149.379779909133	0	0	0	0	0	0	0	0	26.2830487029431	0	0	15.8235807154055
0208_fuzzy_called_somatic	39.8897749008739	0	0	0	0	0	0	0	21.7497957312056	129.95311656851	0	0	0	0	0	0	0	0	0	0	0	34.40731279941
0210_fuzzy_called_somatic	69.6543285576562	0	0	0	0	0	28.5874719155054	0	0	138.938197556216	0	0	0	0	0	0	0	0	0	0	23.2635173823627	33.5564845882594
0211_fuzzy_called_somatic	63.0178885184045	0	0	0	0	0	0	0	29.2421700373403	138.364611307227	0	0	0	0	0	0	0	0	0	0	18.1937131984579	27.1816169385708
0221_fuzzy_called_somatic	77.774212143678	0	16.6584086761739	0	0	0	0	0	19.7320690714267	143.366889509937	0	58.748230293185	0	0	0	0	0	0	0	0	0	4.72019030559915
0648_fuzzy_called_somatic	48.9830799088986	0	0	0	0	0	19.4489043995142	0	0	133.896346980323	0	0	0	0	0	0	0	0	0	0	19.5502627912993	19.1214059199652
0723_fuzzy_called_somatic	61.8472094725692	0	0	0	0	0	0	0	25.8227170303959	145.904320480143	0	24.6970793050854	0	0	0	0	0	0	16.5529995745059	0	0	53.1756741373008
0725_fuzzy_called_somatic	54.6689875304859	0	0	0	0	0	0	0	80.4848476561082	142.536905708739	0	0	0	0	0	0	0	0	0	0	0	1.30925910466658
0727_fuzzy_called_somatic	86.8849337802918	0	0	0	0	0	28.1203931631394	0	0	154.29172121022	0	0	0	0	38.1146227906784	0	0	0	0	0	0	40.5883290556704
0744_fuzzy_called_somatic	69.4287617237983	0	0	0	0	0	0	0	19.697869243563	134.490470118146	0	0	0	0	0	0	0	0	0	0	28.8353225986439	27.5475763158485
0745_fuzzy_called_somatic	55.2807718018132	0	36.7408086534504	0	0	0	0	0	22.3523300006337	130.538030358006	0	0	0	0	0	0	0	0	0	0	20.5551192500779	16.532939936019
0751_fuzzy_called_somatic	93.4966171982824	0	0	103.108945272217	0	0	0	0	0	137.249428034558	0	0	0	0	0	0	0	0	0	0	0	14.1450094949423
0877_fuzzy_called_somatic	43.1344446498948	0	0	0	0	0	0	0	25.2538904549153	137.153013182747	0	0	0	0	0	0	0	0	0	0	0	26.458651712443
0881_fuzzy_called_somatic	28.3474654251132	0	0	0	0	0	0	0	17.2426758149893	113.581330160283	0	0	0	0	0	0	0	0	0	0	0	12.8285285996149
0890_fuzzy_called_somatic	106.909654717895	0	0	0	0	0	0	0	32.7497073794284	186.643010469787	0	0	0	0	0	0	0	0	0	0	0	17.69762743289
0906_fuzzy_called_somatic	145.885275903937	0	0	0	0	0	0	0	38.1573311364436	200.227549372123	0	0	0	0	0	0	0	0	0	0	0	17.7298435874973
0912_fuzzy_called_somatic	80.9242681972374	0	0	14.6987208201078	0	0	0	0	16.6200826765876	146.934441065883	0	0	0	0	15.0090852369563	0	0	0	0	0	0	18.8134020032282
0934_fuzzy_called_somatic	108.982302928362	0	0	40.9174058935437	0	0	0	0	40.6887057303726	147.547697120834	0	0	0	0	26.827736222939	0	0	0	0	0	0	2.03615210394929
0937_fuzzy_called_somatic	98.7009960236695	0	0	0	0	0	0	0	201.188181244949	145.110823701388	0	0	0	0	0	0	0	0	0	0	0	-9.70006112765986e-07
0938_fuzzy_called_somatic	76.9274421707843	0	27.4786488974185	0	0	143.095996990306	33.5643687294111	0	0	135.952123514563	0	0	0	0	0	0	0	0	0	0	0	28.9814196975175
0980_fuzzy_called_somatic	61.9887329958833	0	0	0	0	0	0	0	46.7297419708923	142.446781834738	0	0	0	0	0	0	0	0	0	0	0	2.83474319848636
0982_fuzzy_called_somatic	48.1559677957652	0	0	0	0	0	0	0	31.3694163496368	140.86806049119	0	0	0	0	20.1102642926118	0	0	0	0	0	0	15.4962910707964
1016_fuzzy_called_somatic	105.682013696423	0	0	0	94.9351751281143	40.078427265658	0	0	31.8253390788758	131.395369018475	0	0	0	0	0	0	0	0	0	0	0	23.083675812454
1034_fuzzy_called_somatic	86.89310287156	0	0	0	0	0	0	0	20.8504987472054	136.354506861961	0	0	0	0	0	0	0	0	0	0	0	0.90189151927342
1063_fuzzy_called_somatic	64.5567621602043	0	0	0	0	0	0	0	35.4174800225433	156.089492538243	0	0	0	0	0	0	0	0	23.9768051879446	0	0	21.9594600910651
1076_fuzzy_called_somatic	57.8000188943747	0	0	0	0	0	0	0	36.2794007501919	163.180260885081	0	0	0	0	0	0	0	0	0	0	0	18.7403194703523
1078_fuzzy_called_somatic	44.6462098196384	0	0	0	0	0	0	0	15.567990296743	120.895119133207	0	0	0	0	0	0	0	0	0	0	0	5.89068075041143
1082_fuzzy_called_somatic	110.140028986654	0	0	0	0	19.8225391803583	0	0	20.9519157786916	142.202716608743	0	0	0	0	0	0	0	0	0	0	0	10.8827994455534
