Ref.Sig.R2	Ref.Sig.R4	Ref.Sig.R6a	Ref.Sig.R1	Ref.Sig.R7	Ref.Sig.R5	Ref.Sig.R6b	Ref.Sig.R8	Ref.Sig.R3	Ref.Sig.R9	Ref.Sig.R10	Ref.Sig.R11	Ref.Sig.R12	Ref.Sig.R13	Ref.Sig.R14	Ref.Sig.R15	Ref.Sig.R16	Ref.Sig.R17	Ref.Sig.R18	Ref.Sig.R19	Ref.Sig.R20	unassigned
0124_svm_called_somatic	0	0	0	1.12993291469674	0	0	0	0	0	0	0	0	0	0	0	4.87006710790189	0	0	0	0	0	-2.25986322988092e-08
0125_svm_called_somatic	17.0721380241185	0	0	14.7546586177995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.1093966362328	1.06380672184915
0128_svm_called_somatic	0.534347267234572	0	0	1.92417894636666	0	0	0	0	1.70593707279649	0	0	1.83553668154161	0	0	0	0	0	0	0	0	0	3.20606696746495e-08
0145_svm_called_somatic	10.9152587310057	0	0	16.1716091649486	7.29108165113563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62205045291006
0152_svm_called_somatic	0	0	11.6200148533346	5.28149239249076	0	0	33.7795811519037	0	0	0	0	8.09112153237766	0	0	0	0	0	0	0	0	0	8.22779006989326
0155_svm_called_somatic	3.30858779399186	0	0	0	0	0	0	0	0	0	12.350423478152	0	0	0	2.88254128782081	0	0	0	0	0	0	0.458447440035311
0171_svm_called_somatic	22.9665114238626	26.6900976171968	8.72819385511948	0	0	8.7647775046844	27.7008580229158	0	10.4256485076658	0	0	0	0	0	0	0	0	0	0	0	0	14.7239130685552
0185_svm_called_somatic	2.50776220207432	0	0	1.66982822477089	0	0	0	0	0	0	0	0	0	0	1.26068496115195	0	0	0	0	0	12.7622876551501	0.799436956852716
0190_svm_called_somatic	24.0007267591437	83.5645654355681	41.6736064650729	0	0	0	14.8348852137363	0	0	9.50903757167568	0	0	0	0	0	0	0	0	0	0	10.7100677149134	5.70711083988994
0208_svm_called_somatic	0	0	8.1486040658392	0	0	0	0	0	2.21408222391994	0	0	16.5399342818449	0	0	0	0	0	0	0	0	10.5215854823056	5.57579394609031
0210_svm_called_somatic	8.67113406538752	5.64018479114752	0	0	0	0	29.863976141928	0	0	0	0	8.79631222355765	0	0	0	0	0	0	0	0	29.2059627561054	7.82243002187391
0211_svm_called_somatic	7.7321744155868	0	0	5.46293662127197	5.9179571787056	0	10.2455199908469	0	11.8749073460778	0	0	0	0	0	0	0	0	0	0	0	26.5397924657527	6.2267119817582
0221_svm_called_somatic	7.62956118138698	0	17.1140574691465	0	0	0	0	0	0	0	0	71.8097290537433	0	0	0	0	0	0	0	0	0	11.4466522957232
0648_svm_called_somatic	0	7.86983541362505	0	0	0	0	19.1395237497332	0	0	0	0	4.35932646196048	0	0	0	9.85659844071296	0	0	0	0	22.1014761673776	1.67323976659063
0723_svm_called_somatic	15.6370142779312	0	0	21.0783421520391	0	0	0	8.67365366327009	12.0318919621934	0	0	9.13551731593585	8.65138113010675	0	0	33.2486878370134	0	0	17.738100614445	0	0	19.8054110470651
0725_svm_called_somatic	0	0	0	0	0	0	0	0	59.157451535083	7.31820311047522	0	0	0	0	0	7.19571722847575	0	0	0	0	0	6.32862812596602
0727_svm_called_somatic	11.8594930870201	0	0	37.0415617447899	11.1450282091868	0	28.326298716457	0	0	10.1938304109623	0	19.8356708788776	0	0	24.3057068891015	0	0	0	0	0	0	12.2924100636047
0744_svm_called_somatic	21.9189856930032	0	0	13.2992312308901	0	0	0	0	0	0	10.8426557881068	0	0	0	0	0	0	0	11.3029634912768	0	33.2658652084968	1.37029858822642
0745_svm_called_somatic	0	0	37.2325168364615	0	0	0	0	0	0	0	0	6.73861468543431	0	0	0	4.94618630295815	0	0	6.35403103661469	0	24.1169672228151	0.611683915716299
0751_svm_called_somatic	23.7467613823985	0	0	107.059191611329	0	0	0	0	0	10.0824021207716	0	0	0	0	0	22.6660901626312	0	0	0	0	0	2.44555472287013
0877_svm_called_somatic	0	2.55486286775161	0	4.45309447069281	4.11528542444031	0	0	0	0	0	0	0	0	0	0	5.6946060271752	0	0	0	0	11.2613103287511	0.920840881188944
0881_svm_called_somatic	0	0	0	0	1.52534456388903	0	0	0	1.11229683986052	0	0	0	0	0	1.20124248442722	1.16111609773242	0	0	0	0	0	1.40908067436385e-08
0890_svm_called_somatic	27.0073333882061	0	0	19.9798879311815	0	19.3645989619598	0	0	0	36.5543202100549	0	11.2290130739834	0	0	0	0	0	0	0	0	0	6.86484643461438
0906_svm_called_somatic	77.712725265942	0	0	0	0	50.9133397120583	0	0	15.8637057676336	33.7152088320219	0	0	0	0	0	0	0	0	0	0	0	1.79502042234427
0912_svm_called_somatic	21.2711131977801	0	0	21.7055212859673	21.1751623143649	0	0	0	0	0	0	0	0	6.26135522857658	12.5227388496935	8.44188492580434	0	0	0	0	0	9.62222419781325
0934_svm_called_somatic	47.9250792138132	0	0	61.8910663525113	8.29649598967336	0	0	0	0	0	0	0	0	0	14.7959417472127	0	0	0	0	0	0	15.0914166967895
0937_svm_called_somatic	56.2766412572121	0	0	0	0	0	0	0	192.416846422312	0	0	0	0	0	0	0	0	0	0	0	0	12.306512320476
0938_svm_called_somatic	14.101996039516	0	27.422476036189	0	19.10775876397	96.6672502099182	33.028867407519	0	0	0	0	28.311719525075	0	0	0	0	0	0	0	0	0	21.3599320178126
0980_svm_called_somatic	7.72401775404157	0	0	0	0	0	0	0	24.6771612712581	0	0	0	0	0	0	8.00245344671483	0	0	0	0	0	1.59636752798554
0982_svm_called_somatic	0	0	0	7.53762898594616	6.28535245460381	3.92129805909725	0	8.25035764385716	0	0	0	9.45112276084516	0	5.57859119615125	14.3900810241539	5.33037420036816	0	0	0	0	0	1.25519367497716
1016_svm_called_somatic	45.1025120541755	0	0	0	107.891613051208	0	0	0	0	12.1428296097855	50.6427852758275	0	0	0	0	0	0	0	0	0	0	22.2202600090029
1034_svm_called_somatic	10.4797434028323	0	0	0	0	0	0	0	3.49310788560017	1.73059681591461	0	16.296551399435	0	0	0	0	0	0	0	0	0	4.96217900547435e-07
1063_svm_called_somatic	26.2978917814119	10.9641511170667	0	21.6870384459466	4.00307940399065	0	0	0	0	5.10367298033251	0	0	0	0	0	0	0	0	0	0	0	3.94416627125172
1076_svm_called_somatic	16.8053425307096	0	0	0	0	19.3771434753477	0	7.78332843788769	10.1058287748514	0	0	0	0	0	8.78712460059887	0	0	0	0	0	0	8.14123218060478
1078_svm_called_somatic	0	0	0	0	0.897793933760863	0	0	0	0	0	0	0	0	0	0	3.10220606713584	0	0	0	0	0	-8.96698715280309e-10
1082_svm_called_somatic	47.5232047838444	0	0	0	23.0322782707627	0	0	0	12.9123964751774	0	0	0	0	0	0	6.73479445999239	0	0	0	0	0	4.79732601022319
1083_svm_called_somatic	79.9242682297719	0	0	0	24.880110021136	0	19.1420749195953	0	0	21.1856071543156	0	20.5300173016696	0	0	20.9504798574379	0	0	0	0	0	0	4.3874425160738
1086_svm_called_somatic	0	0	0	0	1.43945179719397	0	0	1.96415862816526	0	1.30729912272688	0	0	0	0	0	1.28909044093548	0	0	0	0	0	1.09783986346201e-08
1103_svm_called_somatic	37.5834595395442	0	0	0	0	0	0	42.6473995081582	88.2868794998709	42.8057980231696	0	0	0	0	12.2833308244905	0	0	0	0	0	0	10.3931326047666
1110_svm_called_somatic	100.245467690606	0	0	0	0	113.692287140892	0	0	0	13.868729023235	0	0	0	0	0	0	0	0	0	0	0	6.19351614526659
1118_svm_called_somatic	48.4926944771098	0	0	57.076781622004	0	0	0	0	339.240286620587	32.7479759518178	0	0	0	0	0	44.2013518387487	0	0	0	0	0	4.24090948973299
1124_svm_called_somatic	171.41984878828	0	0	0	0	0	0	0	331.112270962185	54.2297485220782	0	0	0	0	0	0	0	0	0	0	0	51.2381317274577
1319_svm_called_somatic	14.199284802651	36.2196859896577	0	0	0	0	14.8901002417039	0	0	0	0	0	0	0	7.10759434885682	15.0850045283252	0	0	10.5645592981845	0	10.8046761143367	6.1290946762841
1331_svm_called_somatic	28.4124994309472	0	0	8.1295026729085	0	78.3753323659927	0	0	0	11.9655648878089	0	0	0	0	0	19.1053620002786	0	0	0	0	0	5.01173864206402
1347_svm_called_somatic	44.635921402652	0	0	0	36.4940004037288	98.9916561486508	0	0	11.1706974382734	0	0	0	0	0	12.5180411674418	0	0	0	0	0	0	14.1896834392533
1349_svm_called_somatic	0	0	0	0	4.46284924134917	0	11.1248878558972	0	3.99918204363126	0	0	18.4243224873312	0	0	13.2332354278921	5.8285185074984	0	0	0	0	0	8.92700443640069
1367_svm_called_somatic	19.5857249035951	0	0	0	0	81.4743994204647	0	0	0	20.2174176614586	0	11.0608456357763	0	0	0	0	0	0	0	0	0	1.66161237870529
1371_svm_called_somatic	102.463014835137	0	0	48.1126892609281	15.176851200258	0	0	0	0	11.5422971151696	0	0	0	0	0	23.9378483313096	0	0	0	0	0	21.7672992571973
1389_svm_called_somatic	7.25671014538815	9.73361022997207	0	0	19.0179383994427	0	0	0	0	0	0	0	0	0	4.27720804093939	7.1978220856474	0	0	0	0	0	0.516711098610294
1401_svm_called_somatic	0	0	0	0	0	0	0	5868.05073117634	0	0	0	0	0	0	0	0	0	0	0	0	0	113.949268823655
1402_svm_called_somatic	0	63.925486527529	17.2177710569996	19.6078149055788	0	0	150.690211819307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.5587156905855
1411_svm_called_somatic	6.65876167075676	0	0	9.72485362203171	7.25567231096993	25.654287928468	0	5.16437188178314	5.8547982657572	0	0	0	0	0	0	3.68725470027691	0	0	0	0	0	-3.80043658765317e-07
1419_svm_called_somatic	5.97366149550568	0	0	4.35149506761166	0	16.6565633646257	0	9.28755559380894	0	0	0	0	0	4.50207872218019	0	4.33760143091697	0	0	8.47507642260957	0	0	0.415967902741343
1438_svm_called_somatic	0	0	3.9082209497835	0	0	0	48.1654265702589	0	0	0	0	0	0	0	0	0	0	0	10.8056332880568	0	5.56691771854258	3.55380147335821
1454_svm_called_somatic	1.05146819863015	0	0	0	2.45575163909044	0	0	0	1.16529447608812	0.867213101130788	0	0	0	0	0	1.46027260531508	0	0	0	0	0	-2.02545882288518e-08
1459_svm_called_somatic	0	66.1676761830689	36.3429704213481	10.766908435268	0	0	13.6211257587727	0	0	0	11.9075438307539	0	0	0	0	0	0	0	0	0	31.8350464710844	7.358728899704
1460_svm_called_somatic	0	0	0	0	0	0	0	2.86326597737917	3.45441594122532	5.93004006728528	0	0	0	0	0	8.87831087896346	0	0	0	0	0	0.873967135146767
1466_svm_called_somatic	0	0	0	180.534304708143	0	0	0	0	0	0	0	0	0	0	423.434194303541	0	0	0	0	0	0	24.0315009883157
1477_svm_called_somatic	10.112208407757	0	0	0	0	0	0	0	0	2.22883425201254	0	0	0	0	2.04195343731996	5.41724803761451	0	0	0	0	0	0.199755865295963
1487_svm_called_somatic	60.0462730133383	0	0	165.212641360863	29.6298370678825	41.4186979989295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.6925505589863
1491_svm_called_somatic	20.917612572457	0	0	46.1034202750698	0	36.6423836077728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.33658354470036
1514_svm_called_somatic	25.9650054006001	0	0	0	0	18.8849474484681	0	8.76836519298274	0	0	0	0	0	0	12.1093714574502	29.1452779794301	0	0	0	0	0	10.1270325210688
1542_svm_called_somatic	18.0893747639158	0	0	0	0	91.6661563131245	0	0	0	0	0	0	0	0	0	38.7775068093324	0	0	0	0	0	4.46696211362732
1544_svm_called_somatic	52.9823423780912	10.9797269857581	0	32.4838244410462	25.2940261840427	22.6382309561785	0	0	0	0	23.7986995240962	0	0	0	0	0	0	0	0	0	0	16.8231495307871
1548_svm_called_somatic	7.85821238620319	0	0	29.5335447393049	0	22.4582504610412	0	0	0	0	0	0	0	0	0	7.40053672946877	0	0	0	0	0	10.749455683982
1552_svm_called_somatic	0	13.8437375520147	19.5632052525818	42.0251307208659	0	0	30.9714593873329	14.1536315626852	0	0	0	22.249315127167	0	0	14.4666401191508	0	0	0	0	34.6951756344764	0	20.0317046437253
1557_svm_called_somatic	129.166083932955	0	0	33.0295393590039	0	0	0	0	333.985953921798	33.8184264331441	0	0	0	0	0	0	0	0	0	0	0	-3.64690117748978e-06
1558_svm_called_somatic	42.655893051621	19.1843665194087	21.7012678908771	0	16.9633984095871	0	0	0	0	0	0	0	0	0	0	0	0	10.0176187147367	32.0574763356102	0	0	35.4199790781592
1562_svm_called_somatic	0	0	19.6148128748173	17.1030274034463	0	0	0	4.89882062517424	0	0	27.8489643144094	0	0	0	0	7.2084600025992	0	0	0	0	6.84991258962579	6.47600218992777
1570_svm_called_somatic	51.4252824030772	0	0	39.7046747465704	0	63.1068886782733	0	0	16.6907609427468	0	0	0	0	0	13.2894225269915	0	0	0	0	0	0	17.7829707023408
1571_svm_called_somatic	105.985104296572	13.5941197129432	0	0	0	0	0	0	0	0	0	17.9552420918215	0	0	0	14.6080500889028	0	0	0	0	0	40.8574838097599
1574_svm_called_somatic	17.259069019788	0	0	43.129085377332	0	12.775576230622	0	0	124.185170640851	31.9618289077741	0	0	0	0	0	0	0	0	0	0	0	2.68926982363325
1594_svm_called_somatic	0	0	0	0	0	0	23.0235250738336	0	6.84823599336745	0	0	14.1359076516299	6.48198606620434	4.26203432692439	12.8713414162549	0	0	0	0	3.96601564341924	0	5.41095382836617
1596_svm_called_somatic	1.24172556654822	0	0	5.15204995956125	0	0	0	1.31152930990812	0	0	0	0	0	0	0	4.29469530061861	0	0	0	0	0	-1.36636202796581e-07
1614_svm_called_somatic	31.200392786652	0	0	0	0	0	0	0	189.549453995657	18.3008135425401	0	0	0	0	0	0	0	0	0	0	0	12.9493396751511
